
2025-02-17T00:18:20.619184,cohhcarnage,themightyfist,!avowedthoughts
2025-02-17T00:18:20.677016,loltyler1,ultrainstinctdadfan,Dentge ....
2025-02-17T00:18:20.711106,illojuan,fvaroo,D:
2025-02-17T00:18:20.734531,illojuan,cojones_sobaos,AAAA QUITAAAAA
2025-02-17T00:18:20.734625,xqc,3bnam,LOST
2025-02-17T00:18:20.757730,illojuan,jalmitu,AAAA
2025-02-17T00:18:20.780932,xqc,starcatfish1,Pointless
2025-02-17T00:18:20.804164,loltyler1,wickednafi,LOL
2025-02-17T00:18:20.833746,alinity,kevinchristoff,om 󠀀
2025-02-17T00:18:20.893930,cohhcarnage,cohhilitionbot,@TheMightyFist Cohh has played Avowed for a few hours and has some early thoughts on the game. cohhWow Pop over here to see: Cohh.tv/AvowedThoughts cohhCheer
2025-02-17T00:18:20.944735,xqc,yippi7,Pointless  oh shit
2025-02-17T00:18:21.026171,gronkh,eurosama,Das ist eben der Beruf einer Verteidigung
2025-02-17T00:18:21.153273,loltyler1,zelement115,GRUBBY om
2025-02-17T00:18:21.189332,xqc,hamzasjuice,https://youtu.be/HnGsXk1NHBo @xqc watch after
2025-02-17T00:18:21.212526,xqc,floozo_11,eww
2025-02-17T00:18:21.235680,xqc,darkx1987,yeah yeah lucky luck
2025-02-17T00:18:21.266514,cohhcarnage,raccoonoranges,art NODDERS Clap
2025-02-17T00:18:21.290133,shroud,gullfoss,not familiar with modern FPS - which is biggest FPS between CS / R6 / COD?
2025-02-17T00:18:21.313417,forsen,wegosimple,what happened today
2025-02-17T00:18:21.313547,illojuan,francoss,D:
2025-02-17T00:18:21.336514,loltyler1,nacig,YES
2025-02-17T00:18:21.359844,xqc,doodletod234,Pointless
2025-02-17T00:18:21.359937,xqc,cybe4r,Aware
2025-02-17T00:18:21.360016,xqc,stavros_lvl2,xQxi
2025-02-17T00:18:21.383038,xqc,punishedai,Aware Aware
2025-02-17T00:18:21.383123,gotaga,tadlax1,"gotaga sur le pokenav tu peux localiser un pokemon en cliquant sur la loupe, si il a spawn a cote de toi il te dirige vers lui"
2025-02-17T00:18:21.383198,cohhcarnage,comfychrys,LUL
2025-02-17T00:18:21.406400,xqc,onlinepresence19,BRO WTFF
2025-02-17T00:18:21.432331,xqc,mistersiime,YoungMan
2025-02-17T00:18:21.455578,xqc,mangos4u,elssVibe
2025-02-17T00:18:21.486276,gronkh,whitewolf_1337,uff
2025-02-17T00:18:21.509387,xqc,ringo_chansan,xQxi -1000 TAIWAN??
2025-02-17T00:18:21.534329,rainbow6,xnevvbie,@zz_sh0ckk_zz go play pubg or something else
2025-02-17T00:18:21.580743,summit1g,xhipgamer,ACTION sumBuhblam ✧ RESUB HYPE! (ﾉ◕ヮ◕)ﾉ sumBuhblam DeeXtremeGamer stayed on the 1G Squad!! sum1g sumLove sum1g
2025-02-17T00:18:21.603906,xqc,solidsanders,HYPERDANSGAME
2025-02-17T00:18:21.627055,swiftor,smokiehaze,Swifter come back please! I can't take anymore! I'm sorry!!!
2025-02-17T00:18:21.627148,jukes,streamelements,ACTION - Me siga no Twitter: https://twitter.com/jukeslol LETSGO
2025-02-17T00:18:21.656102,xqc,distapacheson,MegaLUL Made in TAIWAN
2025-02-17T00:18:21.679190,gotaga,hugzston,@Kniveus MDr
2025-02-17T00:18:21.679277,xqc,nsnxi,yum toenails xqcNom
2025-02-17T00:18:21.708700,xqc,iiananas,ThatsEnough
2025-02-17T00:18:21.731922,rainbow6,gg_fella,it’s go faze
2025-02-17T00:18:21.754963,illojuan,vaaalkk_,D:
2025-02-17T00:18:21.778330,illojuan,chroxum,peepoJuan
2025-02-17T00:18:21.801510,illojuan,elias284th,MALDING
2025-02-17T00:18:21.831623,xqc,iwastedmyyouth,awae
2025-02-17T00:18:21.854680,cohhcarnage,rowstralker,Someone get the staff of actor removal
2025-02-17T00:18:21.854781,xqc,smeagx,Pointless
2025-02-17T00:18:21.887153,illojuan,gseis6,fake taxi Hype
